name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Mercedes X5,2018,2379431,143962,Diesel,Trustmark Dealer,Manual,Third Owner
Toyota Fortuner,2019,4409738,140526,Diesel,Dealer,Automatic,Fourth & Above Owner
Tata Swift,2007,919407,119162,CNG,Individual,Automatic,Third Owner
Audi Swift,2012,2738143,130927,LPG,Dealer,Manual,Second Owner
Ford Swift,2020,537913,18026,Petrol,Individual,Manual,First Owner
Mercedes Swift,2014,4115770,74925,Petrol,Individual,Automatic,Third Owner
Mahindra Swift,2008,528821,78842,LPG,Trustmark Dealer,Automatic,Fourth & Above Owner
Honda City,2022,2380707,43665,Petrol,Trustmark Dealer,Automatic,Second Owner
Mercedes Fortuner,2006,1901243,19277,LPG,Trustmark Dealer,Manual,First Owner
Tata X5,2021,4087008,58008,Diesel,Dealer,Manual,Fourth & Above Owner
Tata X5,2017,2012375,24683,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Audi X5,2008,3827447,141742,Petrol,Individual,Automatic,Fourth & Above Owner
Ford X5,2015,3815652,88542,LPG,Trustmark Dealer,Manual,Third Owner
Toyota City,2011,268803,64319,CNG,Trustmark Dealer,Automatic,Second Owner
Audi C-Class,2016,1007744,102067,Diesel,Dealer,Manual,Fourth & Above Owner
Audi Fortuner,2014,948736,78975,Diesel,Dealer,Manual,Third Owner
Honda Swift,2011,899539,111158,LPG,Individual,Manual,Second Owner
BMW C-Class,2017,445404,21577,Petrol,Dealer,Automatic,Second Owner
Ford X5,2011,217297,87299,CNG,Trustmark Dealer,Automatic,Third Owner
Hyundai C-Class,2021,988443,30176,Diesel,Dealer,Automatic,Third Owner
Audi Fortuner,2014,3855074,73972,Diesel,Individual,Automatic,Fourth & Above Owner
BMW Swift,2014,3465962,130018,Petrol,Trustmark Dealer,Manual,Second Owner
Hyundai Swift,2008,4962606,29996,Petrol,Individual,Automatic,First Owner
Ford Fortuner,2008,3226394,110922,CNG,Dealer,Manual,Third Owner
Maruti Fortuner,2011,1427146,96598,LPG,Dealer,Automatic,Second Owner
Mahindra X5,2005,3080304,45931,Petrol,Individual,Automatic,Second Owner
BMW Swift,2016,1533572,134168,LPG,Trustmark Dealer,Manual,Fourth & Above Owner
Jaguar C-Class,2017,4905907,133099,CNG,Dealer,Manual,First Owner
Maruti City,2014,815863,44693,LPG,Dealer,Automatic,Fourth & Above Owner
