car_brand,car_age,kilometers_driven,engine_capacity,mileage,owners,fuel_type,transmission,selling_price
Hyundai,9,130541,1233,14.56,3,Petrol,Automatic,103493.97
Jaguar,6,14686,3387,9.21,1,Petrol,Manual,3577606.35
Honda,10,58363,1077,11.58,1,Diesel,Automatic,567877.6
Land Rover,12,102543,1032,11.9,1,CNG,Automatic,2716972.66
Hyundai,7,136733,2352,15.97,4,Diesel,Automatic,651512.27
Ford,5,100673,2394,12.57,4,Petrol,Manual,706884.1
Audi,10,47828,1913,9.72,4,Petrol,Automatic,2571315.26
Hyundai,6,53604,3209,10.85,3,CNG,Manual,888777.96
Honda,5,15526,825,10.5,1,Petrol,Automatic,893695.98
Land Rover,11,73910,3896,24.54,1,Petrol,Manual,3651015.01
Jaguar,9,30592,2217,20.91,4,Petrol,Automatic,3073163.56
Honda,6,33982,3354,24.45,1,CNG,Manual,1326894.61
Honda,11,5207,3114,15.48,1,Diesel,Manual,1071660.13
Audi,8,93733,1260,12.73,2,Petrol,Manual,2325602.5
Maruti,2,129982,3303,21.57,1,CNG,Automatic,1282374.3
Land Rover,12,73619,1891,13.55,2,Petrol,Automatic,3050796.61
Mercedes,13,51479,1806,13.09,1,CNG,Manual,2532803.65
Honda,9,146826,3710,11.95,3,Petrol,Automatic,905337.81
Maruti,5,86437,2794,10.2,4,CNG,Automatic,849365.93
Mercedes,7,103540,1290,12.36,2,Petrol,Automatic,2863243.03
Land Rover,10,77982,1872,14.04,4,Diesel,Automatic,3285999.96
BMW,13,107747,3411,19.46,2,Petrol,Automatic,2828637.17
Ford,1,53231,3973,9.06,2,CNG,Automatic,1892303.49
Maruti,10,34301,1015,11.58,2,Petrol,Automatic,146368.4
Toyota,5,23752,2523,21.75,3,Diesel,Manual,1390790.38
BMW,12,103452,2392,10.5,1,Petrol,Manual,2477173.5
Ford,14,149467,3406,13.82,2,CNG,Automatic,402809.89
Audi,10,126237,958,22.7,3,CNG,Manual,1963163.59
Hyundai,14,61273,3336,10.63,2,Diesel,Manual,513221.12
Jaguar,2,96878,1485,9.41,1,CNG,Manual,3093779.18
Toyota,12,9895,3641,16.24,2,Petrol,Automatic,1287318.5
Audi,6,124968,2576,13.14,3,Petrol,Automatic,2914290.47
Land Rover,11,120700,2852,17.58,1,Petrol,Automatic,3349968.33
Audi,1,81559,2643,21.66,3,CNG,Automatic,3549154.57
Hyundai,3,15699,3208,10.33,1,Petrol,Automatic,1544762.58
